Colony ,ID,Timepoint,Time,Date,Spawned,Collection.Location,RNA.Extraction,RATIO 1,RATIO 2,Library.Nanodrop ng/µl,Library.Bioanalyzer,RNA.RIN,Sequencing.Type,Run.Number,Sequencing.Date,File.ID.R1,File.ID.R2,Number of Clusters,Number of reads,Purify/Fragment DNA to second strand cDNA synthesis,Perform End Repair,Adenylate and ligate adapters,Enrich DNA Fragments,Bioanalyzer date,Bioanalyzer Average Library size,qPCR date,qPCR concentration nM**,,Library pM,% PhiX
1,T4-1,Time4,18:00,6-Jun-16,NO,HIMB.Point.flat,20160612,2.1,2.25,329.4,14757,7.7,MiSeq 2x150,Run1,20161014,T4-1-includes-adapter_S1_L001_R1_001.fastq.gz,T4-1-includes-adapter_S1_L001_R2_001.fastq.gz,3438991,6877982,9/23/16,9/26/16,9/27/16,9/27/16,10/7/16,466,10/7/16,29.3,,6,2
10,T4-10,Time4,18:00,6-Jun-16,YES,HIMB.Point.flat,20160613,2.14,2.37,897.4,10151,6.7,MiSeq 2x150,Run4,20161112,T4-10-includes-adapter_S1_L001_R1_001.fastq.gz,T4-10-includes-adapter_S1_L001_R2_001.fastq.gz,4192400,8384800,9/23/16,9/26/16,9/27/16,9/27/16,10/7/16,462,10/11/16,31.88,,,
16,T4-16,Time4,18:00,6-Jun-16,YES,HIMB.Point.slope,20160613,2.13,2.38,272.2,15430,7.9,MiSeq 2x150,Run5,20161115,T4-16-includes-adapter_S1_L001_R1_001.fastq.gz,T4-16-includes-adapter_S1_L001_R2_001.fastq.gz,5738309,11456618,9/23/16,9/26/16,9/27/16,9/27/16,10/11/16,468,10/12/16,28.28,,,
17,T4-17,Time4,18:00,6-Jun-16,NO,HIMB.Point.slope,20160614,2.06,2.15,489,8962,8.3,MiSeq 2x150,Run6,20161208,T4-17-includes-adapter_S1_L001_R1_001.fastq.gz,T4-17-includes-adapter_S1_L001_R2_001.fastq.gz,5685333,11370666,9/23/16,9/26/16,9/27/16,9/27/16,10/11/16,467,10/12/16,28.69,,,
6,T4-6,Time4,18:00,6-Jun-16,NO,HIMB.Point.flat,20160613,2.11,2.29,177.1,11631,7.1,MiSeq 2x150,Run2,20161017,T4-6-includes-adapter_S1_L001_R1_001.fastq.gz,T4-6-includes-adapter_S1_L001_R2_001.fastq.gz,4070019,8140038,9/23/16,9/26/16,9/27/16,9/27/16,10/7/16,443,10/7/16,26.91,,8,2
8,T4-8,Time4,18:00,6-Jun-16,YES,HIMB.Point.flat,20160613,2.13,2.31,627.5,8773,6.4,MiSeq 2x150,Run3,20161019,T4-8-includes-adapter_S1_L001_R1_001.fastq.gz,T4-8-includes-adapter_S1_L001_R2_001.fastq.gz,5059437,10118874,9/23/16,9/26/16,9/27/16,9/27/16,10/7/16,447,10/11/16,27.66,,10,2
1,T5-1,Time5,20:00,6-Jun-16,NO,HIMB.Point.flat,20160614,2.03,2.14,637,9790,6.8,MiSeq 2x150,Run1,20161014,T5-1-includes-adapter_S2_L001_R1_001.fastq.gz,T5-1-includes-adapter_S2_L001_R2_001.fastq.gz,3278023,6556046,10/4/16,10/4/16,10/5/16,9/27/16,10/7/16,448,10/7/16,16.21,,6,2
10,T5-10,Time5,20:00,6-Jun-16,YES,HIMB.Point.flat,20160614,2.13,2.34,735.1,9682,7.8,MiSeq 2x150,Run4,20161112,T5-10-includes-adapter_S2_L001_R1_001.fastq.gz,T5-10-includes-adapter_S2_L001_R2_001.fastq.gz,5182807,10365614,10/4/16,10/4/16,10/5/16,10/5/16,10/7/16,482,10/11/16,17.85,,,
16,T5-16,Time5,20:00,6-Jun-16,YES,HIMB.Point.slope,20160615,2.13,2.28,305.1,8015,7.8,MiSeq 2x150,Run5,20161115,T5-16-includes-adapter_S2_L001_R1_001.fastq.gz,T5-16-includes-adapter_S2_L001_R2_001.fastq.gz,5054983,10109966,10/4/16,10/4/16,10/5/16,10/5/16,10/11/16,467,10/12/16,17.33,,,
17,T5-17,Time5,20:00,6-Jun-16,NO,HIMB.Point.slope,20160615,2.15,2.35,179.8,"13,503",8.4,MiSeq 2x150,Run6,20161208,T5-17-includes-adapter_S2_L001_R1_001.fastq.gz,T5-17-includes-adapter_S2_L001_R2_001.fastq.gz,4777150,9554300,10/4/16,10/4/16,10/5/16,10/5/16,10/11/16,475,10/12/16,17.73,,,
