Sample.ID,Time,Spawn,TimePoint
T4.10.includes.adapter_S1,18:00,YES,Time1-18:00
T4.16.includes.adapter_S1,18:00,YES,Time1-18:00
T4.17.includes.adapter_S1,18:00,NO,Time1-18:00
T4.1.includes.adapter_S1,18:00,NO,Time1-18:00
T4.6.includes.adapter_S1,18:00,NO,Time1-18:00
T4.8.includes.adapter_S1,18:00,YES,Time1-18:00
T5.10.includes.adapter_S2,20:00,YES,Time2-20:00
T5.16.includes.adapter_S2,20:00,YES,Time2-20:00
T5.17.includes.adapter_S2,20:00,NO,Time2-20:00
T5.1.includes.adapter_S2,20:00,NO,Time2-20:00
T5.6.includes.adapter_S2,20:00,NO,Time2-20:00
T5.8.includes.adapter_S2,20:00,YES,Time2-20:00
T7.10.includes.adapter_S3,0:00,YES,Time3-00:00
T7.16.includes.adapter_S3,0:00,YES,Time3-00:00
T7.17.includes.adapter_S3,0:00,NO,Time3-00:00
T7.1.includes.adapter_S3,0:00,NO,Time3-00:00
T7.6.includes.adapter_S3,0:00,NO,Time3-00:00
T7.8.includes.adapter_S3,0:00,YES,Time3-00:00
